Name	Year	Genre	Length	IMDb	Rotten Tomatoes	Metacritic	liked this film	seen
The Great Dictator	1940	Comedy/Satire	2h 6m	84%	93%		92%	
Citizen Kane	1941	Drama/Mystery	1h 59m	83%	100%	100%	83%	
Casablanca	1942	Romance/War	1h 42m	85%	99%	100%	85%	
The Good, The Bad And The Ugly	1966	Western/Spaghetti Western 	3h 6m	88%	97%	90%	94%	
Clockwork Orange	1971	Drama/Mystery	2h 17m	83%	89%	80%	89%	
The Godfather	1972	Drama/Crime	2h 58m	92%	98%		93%	
The Holy Mountain	1973	Fantasy/Drama	1h 55m	79%	82%		85%	
Fantastic Planet	1973	Drama/Fantasy	1h 12m	78%	90%		92%	
The Godfather Part II	1974	Crime/Drama	3h 22m	90%	97%	90%	92%	
Rocky	1976	Sport/Drama	2h 2m	81%	94%	70%	93%	
Mad Max	1979	Drama/Fantasy	1h 35m	69%	90%	73%	86%	
Apocalypse Now	1979	War/Drama	2h 33m	84%	98%		87%	
Forbidden Zone	1980	Black and white/Thriller	1h 16m	67%	88%	64%	87%	
Altered States	1980	Drama/Fantasy	1h 44m	69%	84%		86%	
Raiders Of The Lost Ark	1981	Adventure/Action	1h 55m	84%	95%	85%	93%	
Liquid Sky	1982	Sci-fi/Comedy of manners	1h 58m	62%	95%		84%	
Blade Runner	1982	Sci-fi/Thriller	1h 57m	81%	90%		85%	
WarGames	1983	Mystery/Sci-fi	1h 54m	71%	93%	77%	89%	
Scarface	1983	Drama/Crime	2h 50m	83%	81%	65%	94%	
The Terminator	1984	Action/Sci-fi	1h 48m	80%	100%	84%	93%	
Back to the Future	1985	Sci-fi/Adventure	1h 56m	85%	96%		95%	1.0
Castle in the Sky	1986	Animation/Fantasy	2h 6m	80%	96%		94%	1.0
They Live	1988	Sci-fi/Thriller	1h 37m	73%	86%	54%	93%	
Rain Man	1988	Drama/Melodrama	2h 14m	80%	90%	65%	90%	1.0
Die Hard	1988	Action/Thriller	2h 12m	82%	93%	72%	91%	
My Neighbor Totoro	1988	Animation/Fantasy	1h 28m	82%	94%		94%	1.0
Akira	1988	Animation/Sci-fi	2h 5m	80%	90%		92%	1.0
Back to the Future Part II	1989	Comedy/Sci-fi	1h 48m	78%	65%	57%	94%	1.0
Kiki's Delivery Service	1989	Animation/Adventure	1h 43m	78%	98%		95%	1.0
Jacob's Ladder	1990	Drama/Mystery	1h 56m	75%	72%	62%	84%	
Back to the Future Part III	1990	Comedy/Sci-fi	1h 59m	74%	80%	55%	95%	1.0
Hearts of Darkness: A Filmmaker's Apocalypse	1991	Documentary 	1h 37m	81%	100%		84%	
Forrest Gump	1994	Drama/Comedy-drama	2h 22m	88%	72%	82%	96%	1.0
Seven	1995	Crime/Drama	2h 8m	86%	81%	65%	90%	
Braveheart	1995	War/Drama	3h 2m	83%	78%	68%	92%	1.0
Whisper of the Heart	1995	Animation/Romance	1h 51m	79%	94%		96%	1.0
When We Were Kings	1996	Documentary/Sport	1h 29m	80%	98%	83%	89%	
Princess Mononoke	1997	Animation/Fantasy	2h 14m	84%	93%		95%	
Good Will Hunting	1997	Drama/Indie film	2h 7m	83%	97%		93%	1.0
Fear and Loathing in Las Vegas	1998	Drama/Cult film	1h 59m	76%	41%	49%	89%	1.0
Saving Private Ryan	1998	War/Drama	2h 50m	86%	93%		95%	
Fight Club	1999	Drama/Thriller	2h 31m	88%	79%	66%	93%	1.0
The Matrix	1999	Fantasy/Sci-fi 	2h 30m	87%	88%	73%	93%	1.0
